street-custodian	bbox
4620	[-2.10,52.46,-1.92,52.57]
4625	[-1.87,52.35,-1.59,52.51]
4630	[-2.08,52.55,-1.87,52.66]
4635	[-2.21,52.55,-2.05,52.64]
4705	[-2.06,53.72,-1.64,53.96]
4710	[-2.17,53.63,-1.73,53.80]
4715	[-2.00,53.53,-1.57,53.76]
4720	[-1.79,53.70,-1.29,53.94]
4725	[-1.62,53.58,-1.22,53.74]
5030	[-0.11,51.51,-0.07,51.52]
5060	[0.07,51.51,0.19,51.60]
5090	[-0.30,51.56,-0.13,51.67]
5120	[0.08,51.41,0.22,51.51]
5150	[-0.34,51.53,-0.19,51.60]
5180	[-0.08,51.29,0.16,51.44]
5210	[-0.21,51.51,-0.11,51.57]
5240	[-0.16,51.29,0.00,51.42]
5270	[-0.42,51.49,-0.25,51.56]
5300	[-0.19,51.61,-0.01,51.69]
5330	[-0.03,51.42,0.12,51.51]
5360	[-0.10,51.52,-0.02,51.58]
5390	[-0.25,51.47,-0.18,51.53]
5420	[-0.17,51.56,-0.05,51.61]
5450	[-0.40,51.55,-0.27,51.64]
5480	[0.15,51.49,0.32,51.63]
5510	[-0.51,51.45,-0.38,51.63]
5540	[-0.46,51.42,-0.24,51.50]
5570	[-0.14,51.52,-0.08,51.58]
5600	[-0.23,51.48,-0.15,51.53]
5630	[-0.33,51.33,-0.24,51.44]
5660	[-0.15,51.41,-0.08,51.51]
5690	[-0.07,51.42,0.04,51.49]
5720	[-0.25,51.38,-0.12,51.44]
5750	[-0.02,51.50,0.10,51.56]
5780	[0.01,51.54,0.15,51.63]
5810	[-0.39,51.39,-0.22,51.49]
5840	[-0.11,51.42,-0.03,51.51]
5870	[-0.24,51.32,-0.12,51.39]
5900	[-0.08,51.49,0.01,51.54]
5930	[-0.06,51.55,0.02,51.65]
5960	[-0.26,51.42,-0.13,51.48]
5990	[-0.22,51.48,-0.11,51.54]
6805	[-4.69,53.14,-4.04,53.43]
6810	[-4.80,52.54,-3.45,53.24]
6815	[-3.34,51.38,-3.08,51.56]
6820	[-4.69,52.03,-3.66,52.56]
6825	[-4.72,51.66,-3.67,52.13]
6830	[-3.60,52.87,-3.09,53.35]
6835	[-3.40,53.07,-2.92,53.35]
6840	[-3.15,51.56,-2.66,51.97]
6845	[-5.34,51.60,-4.49,52.11]
6850	[-3.92,51.75,-2.96,52.90]
6855	[-4.31,51.54,-3.85,51.77]
6905	[-4.02,52.97,-3.46,53.34]
6910	[-3.29,51.68,-3.12,51.81]
6915	[-3.73,51.47,-3.47,51.65]
6920	[-3.33,51.55,-3.07,51.79]
6925	[-3.44,51.65,-3.28,51.81]
6930	[-3.92,51.53,-3.59,51.81]
6935	[-3.12,51.50,-2.81,51.65]
6940	[-3.59,51.51,-3.24,51.81]
6945	[-3.12,51.61,-2.96,51.78]
6950	[-3.64,51.38,-3.17,51.51]
6955	[-3.33,52.87,-2.73,53.13]
9000	[-3.40,58.69,-2.38,59.39]
9010	[-2.08,59.51,-0.73,60.86]
9020	[-8.57,56.79,-5.83,59.12]
9051	[-2.36,57.08,-2.05,57.23]
9052	[-3.68,56.75,-1.77,57.70]
9053	[-3.36,56.44,-2.38,56.94]
9054	[-6.98,55.27,-4.61,56.69]
9055	[-3.53,55.10,-2.03,55.94]
9056	[-3.88,56.08,-3.58,56.21]
9057	[-4.62,55.89,-4.38,56.07]
9058	[-5.18,54.64,-2.85,55.46]
9059	[-3.09,56.45,-2.84,56.50]
9060	[-4.63,55.22,-3.94,55.76]
9061	[-4.39,55.90,-4.05,56.03]
9062	[-3.09,55.83,-2.37,56.07]
9063	[-4.55,55.68,-4.22,55.82]
9064	[-3.45,55.84,-3.08,56.01]
9065	[-4.02,55.90,-3.51,56.11]
9066	[-3.73,56.01,-2.55,56.45]
9067	[-4.39,55.78,-4.07,55.93]
9068	[-6.79,56.51,-3.02,58.70]
9069	[-4.90,55.84,-4.60,55.96]
9070	[-3.33,55.75,-2.85,55.93]
9071	[-3.75,57.10,-2.64,57.72]
9072	[-5.39,55.33,-4.43,55.87]
9073	[-4.19,55.74,-3.72,56.03]
9074	[-4.64,56.14,-3.05,56.90]
9075	[-4.73,55.76,-4.35,55.93]
9076	[-5.11,55.00,-4.39,55.60]
9077	[-4.28,55.31,-3.40,55.84]
9078	[-4.76,55.96,-3.80,56.50]
